Advertiser,Region,Sub Region,IO Number,Invoice No,Gross Amount,Sales,开票sales,Net Invoice Amount, Invoice Currency , FX Rate ,Amount (USD),Invoice Date,Amount received,Balance,Remark,Receipt Date,Bank source,Credit Period,Due Date,Days Past Due,Ageing (Past Due),COMMENTS
Huntmobi Holdings Limited,AFF,AFF,,CHN_22_08_18,,AFF,,473.64 ,USD,,473.64 ,2018/8/9,473.64 ,0.00 ,,2018/8/29,, 30 ,2018/9/8, reveived ,received,May
ORIENT HOLDING LIMITED,China Sales,China Sales EC,,CHN_23_08_18,,XinXin,,5000.00 ,USD,,5000.00 ,2018/8/10,5000.00 ,0.00 ,,2018/8/14,, 30 ,2018/9/9, reveived ,received,Aug.18
PT.Shopee International Indonesia,APAC,SGP,,SGP_05_08_18,,Amanda,,10572.00 ,USD,,10572.00 ,2018/8/10,,10572.00 ,,2018/9/10,, 30 ,2018/9/9, reveived ,received,July
FUNMART LIMITED,China Sales,China Sales EC,,CHN_06_08_18,,XinXin,,3000.00 ,USD,,3000.00 ,2018/8/8,2998.09 ,1.91 ,,2018/8/13,, 30 ,2018/9/7, reveived ,received,Aug.18
"Lemonade, Inc.",UK,UK,,UK_04_08_18 CM,,UK,,200.00 ,USD,,200.00 ,2018/8/14,200.00 ,0.00 ,,2018/9/27,, 30 ,2018/9/13, reveived ,received,July Magic Jigsaw PuzzlesUSAndroid
Ximad Inc.,USA,USA,,US_01_08_18 ,,USA,,1579.00 ,USD,,1579.00 ,2018/8/14,1579.00 ,0.00 ,,2018/9/14,, 30 ,2018/9/13, reveived ,received,July Magic Jigsaw PuzzlesUSAndroid
AdAction Interactive LLC,UK,UK,,UK_07_08_18 CM,,UK,,2960.50 ,USD,,2960.50 ,2018/8/14,2960.50 ,0.00 ,,2018/9/5,, 30 ,2018/9/13, reveived ,received,July
TEFINCOM S.A,UK,UK,,UK_08_08_18 CM,,UK,,842.00 ,USD,,842.00 ,2018/8/14,842.00 ,0.00 ,,2018/8/20,, 30 ,2018/9/13, reveived ,received,July
Lazada Singapore Pte. Ltd(Lazada SG),APAC,SGP,,SGP_07_08_18,,Amanda,,2486.00 ,USD,,2486.00 ,2018/8/14,2486.00 ,0.00 ,,2018/9/12,, 30 ,2018/9/13, reveived ,received,July Lazada-SG
Lazada Limited (Lazada TH),APAC,SGP,,SGP_08_08_18,,Amanda,,19119.60 ,USD,,19119.60 ,2018/8/14,19099.60 ,20.00 ,,2018/9/17,, 30 ,2018/9/13, reveived ,received,JulyLazada-TH-Android-IOS
